"COD_UNIDADE","NOME_UNIDADE_GESTORA","ANO","MESES","TRANSACAO","EMPRESA","TIPO_COMPRA","VALOR_TRANSACAO","CUSTO_COMPRAS","CUSTO_COMPRASNUM"
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,609,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,171,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,1465,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,283,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,419,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,333,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,609,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,510,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,246,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,280,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,688,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,246,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,1803,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,532,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,419,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,801,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,443,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,148,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,543,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,932,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,466,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,648,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,277,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,182,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,1856,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,720,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,648,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,148,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,1465,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,342,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,514,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,1465,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,2820,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,254,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,665,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,167,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,185,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,183,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,1014,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,360,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,911,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,182,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,342,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,2031,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,419,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,1700,ALTO,3
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,230,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,633,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,622,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,218,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,700,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,529,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,3,1,749,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,283,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,284,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,307,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,749,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,588,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,329,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,382,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,911,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,466,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,269,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,254,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,148,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,307,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,162,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,306,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,1,1,690,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,900,MEDIO,2
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,393,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,463,BAIXO,1
63000,ADVOCACIA-GERAL DA UNIAO,2018,7,1,2,1,1183,ALTO,3
